Index	GC_N_B01	GC_N_B02	GC_N_B03	GC_N_B05	GC_N_B06	GC_N_B07	GC_N_B09_4	GC_N_B10	GC_N_B102_1	GC_N_B107	GC_N_B108	GC_N_B11	GC_N_B116	GC_N_B12	GC_N_B125	GC_N_B135	GC_N_B136	GC_N_B138	GC_N_B14	GC_N_B20	GC_N_B21	GC_N_B23	GC_N_B30	GC_N_B32_4	GC_N_B35	GC_N_B36	GC_N_B37_1	GC_N_B38	GC_N_B40	GC_N_B42	GC_N_B46	GC_N_B48_3	GC_N_B50	GC_N_B54	GC_N_B57	GC_N_B59	GC_N_B60	GC_N_B61	GC_N_B63	GC_N_B64	GC_N_B66_1	GC_N_B68_1	GC_N_B82_1	GC_N_B83_1	GC_N_B84	GC_N_B86_4	GC_N_B87	GC_P_B04_1	GC_P_B08	GC_P_B101	GC_P_B103_1	GC_P_B109	GC_P_B111	GC_P_B112	GC_P_B114	GC_P_B123	GC_P_B126	GC_P_B13	GC_P_B130	GC_P_B15	GC_P_B16	GC_P_B18	GC_P_B19	GC_P_B22	GC_P_B24	GC_P_B26	GC_P_B27	GC_P_B28	GC_P_B29_4	GC_P_B34	GC_P_B41	GC_P_B43	GC_P_B44	GC_P_B45_1	GC_P_B47	GC_P_B51	GC_P_B55_1	GC_P_B58	GC_P_B62_1	GC_P_B69_1	GC_P_B71_1	GC_P_B72	GC_P_B73
M21201138a	2381.689071	151.132701	671.301052	8855.905332	77.36401479	8.247053657	4.090289973	2.090743181	196616.2221	193.1656754	260.0632264	5.388463698	21.10523058	114.3038974	6045.179608	474.4336439	13371.10644	15693.82393	0.797747228	1.801390183	2.862919434	159.2732823	14.50970661	2.432966362	1.626468777	9.052634394	924.7405182	635660.7194	304.0798157	16.34133707	0.253127076	0.005490242	9.455383101	108.5483759	1.40611771	6.90329807	4.941586411	296.981576	0.846751503	0.031131059	0.111557841	7.520274218	0.007889403	125.0428008	2.47517472	73.30147823	23.35308221	321.5670923	280.2893418	23183.15294	10434.92205	71.67093298	63.55586555	51016.30546	19.40362263	52.84298354	151.7255954	0.498751666	2654.764602	2536.364931	0.472112778	4.498332685	21.46096015	5.152414955	0.327043631	12.6329097	31.24931259	3.526002477	10.52062547	1.113884107	2.671356976	6.838190025	49.35622919	44.48686897	20.7771593	2.91079669	4888.213787	47.45358238	1.36592215	319.295974	1.268949449	13.2578606	0.191249267
M21201139a	3976.348722	193.4606059	1104.911131	11052.20508	144.04928	0.374794142	60.14096333	14.64222449	239676.9624	211.3555037	287.9470266	88.69294789	44.28099246	310.2025446	3062.188599	301.8887725	6599.66127	22864.1921	4.463585917	2.977877495	11.50257875	257.4142476	10.41810786	12.97047439	54.18111712	8.689995503	1118.764948	887174.7794	307.422006	119.1256804	13.69920782	1.729884023	11.90929055	405.5032002	2.052837748	6.575722038	1.912591267	408.1565448	0.983972359	1.878624241	0.689873869	10.30406509	0.016678225	8.244337282	160.024764	56.47125442	25.68875319	2220.265927	105.7238544	38049.79125	11386.36077	61.1081995	52.97662324	45237.37225	16.94021952	59.10377214	104.3152029	3.961126963	17552.73588	2814.921051	0.593095119	7.315092789	56.34299877	14.82510117	0.178774617	22.94526393	52.73389149	8.91358743	8.043551801	0.584286491	14.15084173	7.042364676	73.09971598	135.1676317	56.11807888	24.9698692	4693.116001	93.49806394	4.123969367	528.5236183	2.254487999	17.30010464	0.2086336
M21201140a	2648.730084	84.35772634	710.8971923	10013.21006	425.0127115	13.62258331	13.17716988	3.227989463	240821.0938	281.4719398	250.1381222	108.3196836	9.697584466	94.56924435	2786.33481	265.3766749	4496.579157	14756.03403	2.198676515	1.168858036	4.793576118	95.64107266	7.171738824	3.424028849	1.490477902	8.249440857	1780.964969	45450.99353	285.1387029	143.2423924	2.471051873	2.571620834	3.654672917	105.0872795	2.283122698	5.304271211	4.523075692	990.7696408	0.792052693	2.460732291	0.02740651	10.85183378	0.006154113	7.217210074	8.696002824	18.79617666	27.63683085	460.2895158	202.4784497	37506.61662	12575.79948	107.2970338	28.8222117	147183.0453	28.3053605	95.35545344	240.2663763	2.718641027	10398.03558	3387.429822	0.702488804	7.145819273	2.805648807	5.960007123	0.280056311	20.51213253	44.40090589	4.510215856	23.22185505	0.756531788	5.633554817	6.397027947	76.16884384	1.059687478	3.078212009	1.972834214	4028.877019	70.63502656	3.569943397	153.9797419	0.710884219	14.11845812	0.362811787
M21201143a	2201.93264	234.1288992	961.3744066	12958.39772	107.9397505	1.964230807	1.255435131	1.363115804	208131.3794	277.3012067	376.3420943	6.075351264	12.27291093	32.30601547	2878.450233	966.0445473	12619.12352	43359.11993	1.194671766	0.675558197	2.321062122	120.1536537	0.174094937	1.497265928	115.6766201	11.75678522	590.9562272	591045.4888	505.1741393	9.729477999	6.120758759	0.279277333	19.89872449	107.9629747	3.362147341	14.02854832	3.217103167	418.1613	2.049047493	0.932517192	0.00812723	15.94089599	0.018883295	14.04967971	28.87594187	108.176563	42.95296187	1978.730255	264.3327461	43910.44597	13052.22308	108.6982899	87.57753605	148132.4962	10.15729375	82.90035859	177.0628698	0.924670518	8301.287322	3172.898587	1.713812425	7.103631786	0.054487155	6.736556831	0.186064475	35.53703449	91.76775267	5.554413611	477.1428804	1.308352536	14.25379192	3.288808376	80.97172982	0.265417934	0.045187776	1.853667027	7437.83459	131.5363688	4.224487772	339.0314568	0.489109814	28.14160057	0.248006776
M21201144a	2508.586202	71.3178716	1163.444544	8458.338267	66.38589573	1.244869841	3.372088721	3.613171209	182576.6511	132.1233807	210.0596028	11.48130139	6.239837138	75.69857585	2602.387346	738.7549069	7783.068637	29715.09381	2.471256543	0.556285527	0.618531507	69.61058376	9.37765567	2.948987069	16.49974227	5.526201962	489.528681	217970.3215	818.5275196	18.79758913	0.72300465	0.524415559	3.516287312	182.4001067	1.280203726	7.686412522	1.986348235	357.8879782	0.998895446	0.35510247	0.161333649	3.905092547	0.009702127	244.5420575	23.25780521	81.2142351	13.89215951	1033.972457	111.0885077	27820.15157	10138.9925	28.81021521	13.99677374	142442.5257	42.99794958	23.13831314	73.14834081	1.177094129	2700.802374	2396.266189	0.414421822	3.764184886	0.493522547	7.437881176	0.363875177	7.962978106	18.53467395	5.299508703	43.31468994	2.627898673	6.172529622	4.256011994	52.24836166	2.686861518	0.532271745	4.303607115	4402.103407	27.18457679	1.272750533	401.858545	0.683101299	4.935778179	0.069067783
M21201145a	2386.471749	278.4728732	795.442884	5351.955847	7985.077575	2.28622147	12.88666532	24.36426796	161196.1073	149.5911681	403.438547	73.42003916	46.25231847	22.95523798	2864.905347	664.0582683	14636.26549	32945.34548	8.099689007	0.731629546	0.275343652	6399.945667	95.55417381	24.0826298	86.31879088	24.20182999	24759.76554	995832.104	229.6205982	137.7557146	2.867264099	0.180444342	18.75121064	91.91710089	2.744732248	3.226717724	15.39446656	11038.57615	1.655784744	68.92464889	0.986152959	168.3475403	0.019394258	13.09534803	10.74874081	107.955159	389.3510883	2612.73892	148.3851051	28385.93109	12840.90174	76.4733344	72.65330366	127157.5192	23.450044	1619.886191	117.8265448	5.65875048	6422.826744	1417.2654	0.176652265	14.43143471	5.79867554	10.16166233	0.229376942	11.06828195	35.34084877	6.864641233	0.944742332	17.0823026	41.40926772	3.076943969	64.64763781	8.249968248	6.766812982	1.908935768	6012.815478	47.76149692	4.182996259	589.2126909	67.07519876	10.57505088	0.173869355
M21201146a	2694.142398	186.2235355	912.7530724	7561.688759	30.20718699	2.884191149	9.461565206	72.74472555	256334.1245	236.1395496	294.1852755	291.3623509	79.68981152	0.000499608	3418.868282	217.125855	5203.939484	24222.30475	25.97037442	1.928017877	0.179441317	219.1877823	0.0102542	72.56322691	6.613844763	11.21719091	369.4202416	13081.03941	242.2352254	258.6185595	1.537629627	1.563191404	17.07062704	145.6703694	2.881069874	12.99128136	1.113571712	145.7771135	1.352216928	13.48168205	0.000232673	9.50709998	0.019394295	11.75183722	18.15803243	109.58434	43.49589755	492.8778011	2.421239578	31542.99704	11892.30145	51.0215228	65.33953865	66061.39556	11.11141122	68.93019764	145.4496172	20.83013239	7393.328084	2326.905916	0.392847184	3.399259892	5.382632493	4.457684882	0.183568952	25.35900899	62.53095018	2.450414999	0.695776808	1.83642445	55.88093444	4.860590967	80.95946163	6.607655044	5.457767604	21.32881733	5442.729333	91.59324612	2.429674985	307.8422834	0.917387966	19.84651045	0.219119157
M21201149a	2087.259335	112.7257281	763.7109515	5741.495387	357.2583792	23.84368229	5.81387387	1.152569277	263295.3455	138.5491266	267.1774992	6.37097771	7.969466414	31.653564	3819.098243	317.2457123	5304.119003	15083.14501	0.741626826	0.765201338	0.04140417	83.17396536	22.58265287	1.266647434	15.71977827	4.556845597	545.4560549	244891.1035	242.7871124	5.826952047	1.48843182	1.880475556	9.162844778	148.3109729	1.363501632	9.628894751	0.424775651	634.9584391	1.206245397	10.66933358	0.006921353	1.175947264	0.00919493	983.8684382	4.632308961	41.64932107	24.36308029	1011.93618	3297.944562	20311.72431	7332.387266	228.4362573	114.3381977	144919.9751	33.12969979	40.15929778	219.9097289	1.097519349	1542.878355	2508.515712	0.96120636	5.185092764	0.63390544	9.233273806	0.325081866	5.585098761	10.43624887	3.745875175	69.21517565	1.65768916	4.687300395	4.606502105	43.73382537	2.711587674	0.611248687	1.161638044	2282.483021	15.84060582	2.863273587	326.259062	0.2466765	5.451217402	0.074163822
M21201150a	2881.721029	182.7834278	1234.007511	9756.825294	136.5412618	0.804331538	5.212739947	35.67075306	231834.1952	296.4673454	318.7807467	121.9557218	9.496477694	0.299840107	3062.783027	583.6391685	12676.09228	38813.79589	26.9485955	0.644634878	0.087500431	28.13874699	0.311308057	32.67797615	7.61326111	8.871771284	202.7029621	21011.97489	507.5299549	54.84925129	1.026246852	0.983844428	15.64258931	255.608572	3.338164739	15.89820812	2.569663492	637.2320929	1.345970309	1.564702475	0.000232673	1.252411759	0.021754213	1.653059328	9.046279424	128.1076291	32.72884075	712.2945758	20.74764692	30211.5237	9648.532115	108.5766604	67.66221522	98752.85214	12.94860733	70.86958935	222.5458806	20.01210925	6963.227416	3396.662208	1.604500051	4.815746874	1.666839527	8.927168647	0.319702979	31.0881953	73.20391094	5.377290101	5.272005716	1.066488408	179.338421	4.698011184	64.34767683	7.820046689	1.847158034	1.22627882	5363.047954	107.5932045	2.638864353	255.9319835	1.420904062	23.0644847	0.179013436
M21201151a	2993.510555	161.9418829	1349.991901	19819.00936	163.4474842	1.207212428	2.735137329	5.322457542	308797.4432	238.3939507	408.6595824	11.12425852	17.14847706	55.86552337	3059.225455	607.0237043	6325.204091	27339.88535	1.127502874	0.989882599	1.116936792	15.73309867	6.011531406	5.816531091	14.24782958	9.482639096	207.3774424	19517.87969	688.3278713	74.48827818	1.862400241	0.706131828	6.417369215	207.9621708	2.217501678	10.71124997	0.036727561	321.6319021	2.317971149	0.558349033	0.000232673	8.542450419	0.025238086	144.5059425	32.98164194	110.9007245	30.08333283	2354.575942	186.6918702	41760.582	10796.78369	96.5053876	57.33339367	255748.9327	26.34285907	36.18025146	162.4698652	0.737143135	8072.4316	3693.837432	0.386606874	17.17699915	0.031449278	19.31408162	0.574675212	6.979671896	20.27880346	12.77135575	48.54849098	0.849327387	2.135562023	11.30382018	120.238182	0.114457914	0.087684086	97.57234155	2469.371089	29.56558551	3.508265982	207.8301642	0.432574795	7.638784098	0.072772148
